Name	Set	ImageFile	Rarity	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
AUTO-DESTRUCT SEQUENCE	Premiere	autodestructsequence	U	U	INTERRUPT															Plays on any one of your own ships. Ship self-destructs at end of your turn. Explosion damages all other ships at same location which have SHIELDS<8.
AUTO-DESTRUCT SEQUENCE *VOY	Voy	autodestructsequencevoy	U	68 U	INTERRUPT															Plays on one of your own ships. Ship self-destructs at end of your turn. Explosion damages all other ships at same location which have SHIELDS<8.
AUTOMATED SECURITY SYSTEM	DS9	automatedsecuritysystem	R	R	EVENT									[DS9]						Plays on Ops. End of every turn, targets one personnel present (random selection). That personnel is killed unless its species is Cardassian. May be nullified by 3 ENGINEER.
AVERT DANGER	2PG	avertdanger	P	P	MISSION	Planet,[FEDERATION][KLINGON]					30	Moab IV	4	(AQ)						Stellar Cartography + CUNNING>35 OR Astrophysics + CUNNING>35
MONTANA MISSILE COMPLEX	FC	montanamissilecomplex	R	R	TIME LOCATION	Planet						2063 Earth		[FC]						Plays on table. Seed Phoenix beneath this location from outside the game (any Zefram Cochrane may acquire it later); Borg player may download Stop First Contact. Once Phoenix has taken off or Vulcan Lander has landed here, nullifies Stop First Contact. Native to this timeline: Zefram Cochrane, Lily Sloane, Phoenix, Vulcan Lander, Solkar, Sevek, T'Shonra and Kathleen Tonell.
Montgomery Scott	AU	montgomeryscott	C	C	PERSONNEL	FEDERATION	ENGINEER	7	8	3				(CMD)			Montgomery Scott			ENGINEER * ENGINEER  * Astrophysics  * Honor  * Miracle  Worker (Transporter Skill)
Montgomery Scott *TWT	TWT	montgomeryscotttwt	S	C	PERSONNEL	FEDERATION	ENGINEER	7	8	3				(CMD)			Montgomery Scott			ENGINEER * ENGINEER  * Astrophysics  * Honor  * Miracle  Worker (Transporter Skill)
Mora Pol	DS9	morapol	R	R	PERSONNEL	BAJORAN	SCIENCE	6	8	3				(STF)[DS9]						SCIENCE * SCIENCE  * Exobiology  x2
Morag	Premiere	morag	U	U	PERSONNEL	KLINGON	OFFICER	7	4	8				(CMD)						OFFICER * Computer  Skill * Greed
Morak	Borg	morak	U	99 U	PERSONNEL	KLINGON	SCIENCE	5	7	6				(STF)[Borg][DQ]						SCIENCE * Transporter  Skill * Astrophysics  * Physics * If on  I.K.C. Voq'leng, it is attributes all +1.
Mordock	QC	mordock	U	U	PERSONNEL	FEDERATION	SCIENCE	7	7	4				(STF)						SCIENCE * Missions  you solve are +5 points. Bonus points lost if you ever battle in this game. * Computer  Skill * Physics
Morgan Bateson	Premiere	morganbateson	R	R	PERSONNEL	FEDERATION	OFFICER	8	4	5				(CMD)				U.S.S. Bozeman		OFFICER * Leadership  * Stellar  Cartography
Morka	DS9	morka	R	R	PERSONNEL	KLINGON	OFFICER	7	6	8				(CMD)[DS9]					The Great Hall	OFFICER * Computer  Skill * Klingon  Intelligence * Geology  * Stellar  Cartography
Morka *TWT	TWT	morkatwt	S	R	PERSONNEL	KLINGON	OFFICER	7	6	8				(CMD)[DS9]					The Great Hall	OFFICER * Computer  Skill * Klingon  Intelligence * Geology  * Stellar  Cartography
Morn	ROA	morn	R	R	PERSONNEL	NON-ALIGNED	CIVILIAN	5	8	9				(CMD)[ROA]					War Council	CIVILIAN * Navigation  * Greed  * Acquisition  * Smuggling  * ENGINEER  * Biology \DL/ Gold-Pressed  Latinum
Morta	ROA	morta	U	U	PERSONNEL	FERENGI	SECURITY	5	5	7				(STF)[ROA]						SECURITY * Computer  Skill * ENGINEER  * Geology  \DL/ Prepare  Assault Teams
Mortal Q	QC	mortalq	R	R	PERSONNEL	NON-ALIGNED	CIVILIAN	2	Q	2				(STF)					War Council	CIVILIAN * Leadership  -1 * Discard  the Q dilemma if you encounter it. --- Once in play, your Q-Flash is inactive.
Mortimer Harren	Voy	mortimerharren	U	128 U	PERSONNEL	FEDERATION	ENGINEER	6	9	6				[Voy][DQ]						ENGINEER * Astrophysics  x2 * Stellar  Cartography
Mot The Barber	Premiere	motthebarber	U	U	PERSONNEL	FEDERATION	CIVILIAN	6	4	5										CIVILIAN * Barbering
MOT'S ADVICE	AU	motsadvice	U	U	EVENT															Plays on any one personnel. While in play, that personnel gains the skill of Barbering.
Motura	Voy	motura	R	182 R	PERSONNEL	VIDIIAN	CIVILIAN	8	7	5				[Voy][DQ]						CIVILIAN * Diplomacy  x2 * SCIENCE  * Honor  * Anthropology  * Music  \DL/ Dereth
Movar	Premiere	movar	U	U	PERSONNEL	ROMULAN	OFFICER	5	7	7				(CMD)						OFFICER * Treachery  * Anthropology
Mr. Brunt	MM	mrbrunt	R+	88 R+	PERSONNEL	FERENGI	ENGINEER	7	8	6				(STF)[KCA][TE][MM][MQ]			(Brunt)	Mirror Ferengi Shuttle		ENGINEER * Computer  Skill * Navigation  * Honor  * Archaeology * When  he leaves play, may download Mr. Quark.
Mr. Garak	HA	mrgarak	R	106 R	PERSONNEL	NON-ALIGNED	CIVILIAN	5	8	6				[HA]			Elim Garak		War Council	CIVILIAN * May  end a mission attempt he is involved in just after any dilemma killed
Mr. Homn	QC	mrhomn	R	R	PERSONNEL	FEDERATION	CIVILIAN	9	3	9										CIVILIAN * Empaths  may report for duty where present. * May  nullify Empathic Echo where present.
Mr. Nog	MM	mrnog	R+	89 R+	PERSONNEL	FERENGI	CIVILIAN	2	6	5				[KCA][TE][MM][MQ]			(Nog)			CIVILIAN * ENGINEER  * Greed  * Physics  * Treachery  \DL/ Bribery * When  he leaves play, may download Mr. Brunt.
Mr. Quark	MM	mrquark	R+	90 R+	PERSONNEL	FERENGI	CIVILIAN	7	7	3				[KCA][TE][MM][MQ]			(Quark)			CIVILIAN * Smuggling  * Honor  * Computer  Skill x2 * Anthropology  * Diplomacy \DL/  Rescue Captives * When  he leaves play, may download Mr. Rom.
Taibak	Premiere	taibak	U	U	PERSONNEL	ROMULAN	SCIENCE	2	8	8				(STF)						SCIENCE * Treachery  * Biology  * Computer  Skill
% Ranjen	Borg	ranjen	C	89 C	PERSONNEL	HIROGEN	ENGINEER	7	7	8				(STF)[Borg][DQ]					Hirogen Hunt (Idrin)	ENGINEER * Navigation  x2 * Physics
% Rano Dake	DS9	ranodake	C	C	PERSONNEL	BAJORAN	SECURITY	6	7	6				(STF)[DS9]						SECURITY * Geology  * Youth
% Rase Norvan	DS9	rasenorvan	C	C	PERSONNEL	BAJORAN	MEDICAL	7	5	4				(STF)[DS9]						MEDICAL * Biology  * Music  * Youth
% Rax'Na	DS9	raxna	C	C	PERSONNEL	NON-ALIGNED	SCIENCE	3	6	6				(STF)[DS9]						SCIENCE * Astrophysics  * Biology  * Treachery
% Rebel Interceptor	MM	rebelinterceptor	C	121 C	SHIP	FEDERATION	INTERCEPTOR	6+X	8	6				[TE][MM][MQ]	[TE]			Smiley		May take off or land once each turn. X=3 if moving within a region.
% Regnor	TMP	regnor	C	86 C	PERSONNEL	KLINGON	MEDICAL	6	7	7				(STF)[AU][TMP]/Films\						MEDICAL * Exobiology  * Anthropology
% Rekelen	DS9	rekelen	C	C	PERSONNEL	CARDASSIAN	CIVILIAN	7	7	3				[DS9]						CIVILIAN * Youth  * Computer  Skill * Geology
% Richard Wilkins	FC	richardwilkins	C	C	PERSONNEL	FEDERATION	SCIENCE	7	7	5				(STF)[FC]						SCIENCE * Stellar  Cartography
% Rigelian Freighter	DS9	rigelianfreighter	C	C	SHIP	NON-ALIGNED	MERCHANT FREIGHTER	6	6	9				[DS9]	(CMD)					Tractor Beam
% Ril	Voy	ril	C	156 C	PERSONNEL	KAZON	CIVILIAN	7	6	5				[Voy][DQ]					The Kazon Collective (Ogla)	CIVILIAN * Anthropology  * MEDICAL  * Geology
% Rinnak Pire	DS9	rinnakpire	C	C	PERSONNEL	BAJORAN	OFFICER	6	5	6				(CMD)[DS9]				Any % BAJORAN Ship		OFFICER * Computer  Skill * Navigation * May  be matching commander of any % [Baj] ship.
% Rionoj	DS9	rionoj	C	C	PERSONNEL	NON-ALIGNED	CIVILIAN	4	6	6				(CMD)[DS9]					War Council	CIVILIAN * ENGINEER  * Greed  * Navigation
% R'Mal	BOG	rmal	C	C	PERSONNEL	ROMULAN	SCIENCE	7	7	6				(STF)[BOG]						SCIENCE * Archaeology
% Romara Cal	MM	romaracal	C	54 C	PERSONNEL	BAJORAN	MEDICAL	6	7	6				(STF)[KCA][MM][MQ]						MEDICAL * Biology  * Physics
% Romulan Shuttle	BOG	romulanshuttle	C	C	SHIP	ROMULAN	SHUTTLECRAFT	7	3	3				[BOG]				Senator Vreenak		Cloaking Device
% Rukor	MM	rukor	U	96 U	PERSONNEL	KLINGON	OFFICER	6	7	7				(STF)[KCA][MM][MQ]						OFFICER * Navigation  x2 * Astrophysics
% Runabout	Premiere	runabout	C	C	SHIP	FEDERATION	RUNABOUT	7	5	5				RUNABOUT						
% Saldin	Voy	saldin	C	157 C	PERSONNEL	KAZON	CIVILIAN	4	7	7				[Voy][DQ]					The Kazon Collective (Pommar)	CIVILIAN * Computer  Skill * SECURITY  * Archaeology
% Sam Lavelle	HA	samlavelle	C	71 C	PERSONNEL	FEDERATION	OFFICER	7	7	7				(STF)[HA]						OFFICER * Navigation  * Computer  Skill \DL/ Lower  Decks
% Sam'po	TMP	sampo	C	103 C	PERSONNEL	NON-ALIGNED	SECURITY	4	7	5				(CMD)[TMP]		Son'a				SECURITY * Navigation  * Treachery  * Stellar  Cartography
% Sarita Carson	BOG	saritacarson	C	C	PERSONNEL	FEDERATION	SECURITY	6	7	5				(STF)[BOG]						SECURITY * Navigation  * SCIENCE
% Sarod	TMP	sarod	C	104 C	PERSONNEL	NON-ALIGNED	CIVILIAN	6	8	10				(STF)[AU][TMP]/Films\					Revenge Is A Dish Best Served Cold, War Council	CIVILIAN * Draw  a card when you place a Ceti Eel on a personnel here. * Exobiology * Anthropology  * MEDICAL
% Science Vessel	Premiere	sciencevessel	C	C	SHIP	ROMULAN	SCIENCE	8	5	6										
% Scout Vessel	Premiere	scoutvessel	C	C	SHIP	ROMULAN	SCOUT	9	3	3										
% SEARCH FOR WEAPONS	SD2	searchforweapons	P	P	MISSION	Planet,[FEDERATION][KLINGON][CARDASSIAN][BAJORAN][FERENGI]					30	Demilitarized Zone Region * Border planet	3	[P](AQ)						OFFICER + Navigation + Treachery    May seed hand weapons under here.
% SECURE STATION	Borg	securestation	C	41 C	MISSION	Space,[HIROGEN]					30	Hirogen relay station	2	[Borg](DQ)						Alpha-Hirogen + total WEAPONS>opponent's total WEAPONS here
% SECURITY HOLDING CELL	BOG	securityholdingcell	U	U	SITE									[BOG]						Has a Brig. Once each turn, player who controls station may download Brainwash, Interrogation or Torture to a captive held in this Brig if that player has a Tal Shiar, Obsidian Order, Resistance or Section 31 personnel (or a personnel who has SECURITY and Treachery) unopposed here. Any Nor: Promenade
% Selok	Premiere	selok	C	C	PERSONNEL	ROMULAN	V.I.P.	4	8	5				(STF)						V.I.P. * Treachery
% Sethis	Voy	sethis	C	185 C	PERSONNEL	VIDIIAN	SECURITY	3	7	6				(CMD)[Voy][DQ]						SECURITY * Archaeology  * Exobiology  * Leadership
% Seventeen of Eighteen	Borg	seventeenofeighteen	C	62 C	PERSONNEL	BORG		5	7	5				[Nav][Borg][DQ]		Drone				* Geology  * Stellar  Cartography * SCIENCE  * While  on your ship in the Delta Quadrant, it is RANGE +2. (Cumulative.)
% Shandor	AGT	shandor	P	15 P	PERSONNEL	BAJORAN	CIVILIAN	7	6	3										CIVILIAN * Archaeology  * Diplomacy  * Honor
% Sharic	TMP	sharic	C	105 C	PERSONNEL	NON-ALIGNED	MEDICAL	6	5	6				[TMP]		Son'a				MEDICAL * Biology  * Computer  Skill * If  on your Son'a ship, cancels its restriction box.
% Simon Tarses	Premiere	simontarses	C	C	PERSONNEL	FEDERATION	MEDICAL	6	5	5										MEDICAL * Youth
% Sinaren	Borg	sinaren	C	119 C	PERSONNEL	VIDIIAN	MEDICAL	6	7	4				(STF)[Borg][DQ]						MEDICAL * Biology  * Geology  * Archaeology
% Sir Isaac Newton	Premiere	sirisaacnewton	R	R	PERSONNEL	FEDERATION	SCIENCE	7	11	3				[Holo]						SCIENCE * Physics  x2
% Sito Jaxa	Premiere	sitojaxa	C	C	PERSONNEL	FEDERATION	SECURITY	8	6	6				(STF)						SECURITY * Navigation  * Youth
% Six of Eleven	FC	sixofeleven	C	C	PERSONNEL	BORG		5	7	5				[Nav][FC][DQ]		Drone				* Physics  * Navigation  * SCIENCE  * When  on your ship, may download an Alternate Universe Door in place of one card draw.
% Six of Nineteen	EFC	sixofnineteen	P	P	PERSONNEL	BORG		5	5	7				[Def][FC][DQ]		Drone				* Just  before Rogue Borg present initiate battle, may download a % drone to replace (discard) one of them. * Exobiology  ! Intruder  Alert!
% Sumek*	HA	sumekhir	C	72 C	PERSONNEL	FEDERATION/HIROGEN	SCIENCE	7	8	8				(CMD)[Holo][HA][DQ]		Vulcan				SCIENCE * ENGINEER  * Stellar  Cartography
% Suna	OTSD	suna	P	P	PERSONNEL	NON-ALIGNED	SECURITY	3	7	4				(CMD)[P]						SECURITY * MEDICAL  * Treachery * Once  per game, may download Reflection Therapy
% Sunad	AGT	sunad	P	31 P	PERSONNEL	NON-ALIGNED	OFFICER	5	8	6				(CMD)				Zalkonian Vessel		OFFICER * SECURITY  * Leadership  * Physics  * Law
% SURVEY STAR SYSTEM	DS9	surveystarsystem	C	C	MISSION	Space,[KLINGON][CARDASSIAN][BAJORAN][FERENGI]					30	Planetary system	3	[DS9](GQ)						Navigation + Stellar Cartography + Diplomacy + SCIENCE
% Taar	ROA	taar	C	C	PERSONNEL	FERENGI	OFFICER	7	7	7				(CMD)[ROA]						OFFICER * Diplomacy  * Astrophysics  * May  double Ferengi Attack in same quadrant.
% Tagus	MM	tagus	C	113 C	PERSONNEL	ROMULAN	SECURITY	5	7	8				(STF)[MM]						SECURITY * Treachery
% Tahglio	TMP	tahglio	C	65 C	PERSONNEL	FEDERATION	SECURITY	5	5	7				(STF)[AU][TMP]/Films\						SECURITY * Computer  Skill
% Taitt	Premiere	taitt	C	C	PERSONNEL	FEDERATION	SCIENCE	6	7	4				(STF)						SCIENCE * Stellar  Cartography * Geology
% Takirac	Borg	takirac	U	90 U	PERSONNEL	HIROGEN	OFFICER	7	7	8				(CMD)[Borg][DQ]					Hirogen Hunt (Karr)	OFFICER * Diplomacy  * Honor  * Leadership
% Takket	Premiere	takket	C	C	PERSONNEL	ROMULAN	MEDICAL	4	7	7				(CMD)						MEDICAL * Exobiology
% Tallus	Premiere	tallus	C	C	PERSONNEL	ROMULAN	OFFICER	3	7	7				(CMD)						OFFICER * Leadership
% Tanar	Borg	tanar	C	95 C	PERSONNEL	KAZON	SCIENCE	6	6	7				(STF)[Borg][DQ]					The Kazon Collective (Nistrim)	SCIENCE * Archaeology  * Biology  * Anthropology
% Targ	AU	targ	C	C	PERSONNEL	KLINGON	ANIMAL	4	1	5										ANIMAL * All  non-Targ Klingons STRENGTH +1 where present. * Nullifies  one just-played Rogue Borg where present.
% Tarus	Premiere	tarus	C	C	PERSONNEL	ROMULAN	SCIENCE	4	8	7				(STF)						SCIENCE * Stellar  Cartography
% Taul	Premiere	taul	C	C	PERSONNEL	ROMULAN	SECURITY	4	7	8				(STF)						SECURITY * Treachery  * Archaeology
% Taurik	Premiere	taurik	C	C	PERSONNEL	FEDERATION	ENGINEER	7	7	8				(STF)		Vulcan				ENGINEER * Mindmeld
% Taylor Moore	DS9	taylormoore	C	C	PERSONNEL	FEDERATION	SECURITY	7	6	8				(STF)[DS9]						SECURITY * Leadership  * Archaeology
% Taymar Bern	MM	taymarbern	C	55 C	PERSONNEL	BAJORAN	SECURITY	4	7	8				(STF)[KCA][MM][MQ]						SECURITY * Anthropology  * Navigation  * Treachery
% Telari	Voy	telari	C	188 C	PERSONNEL	VIDIIAN	MEDICAL	5	6	5				(STF)[Voy][DQ]						MEDICAL * SCIENCE  * Anthropology  * Physics  \DL/ Vidiian  Harvester
% Telle	Dom	telle	C	C	PERSONNEL	CARDASSIAN	SECURITY	4	6	7				(STF)[Dom]						SECURITY * Computer  Skill * MEDICAL
% Temo'zuma	Dom	temozuma	C	C	PERSONNEL	DOMINION	SECURITY	7	6	9				(STF)[KW][Dom][GQ]						SECURITY * ENGINEER  * Transporter  Skill                                   OFFICER                                     [TWT] * Your  Breen and Jem'Hadar ships in battle together are each WEAPONS +2. * Leadership  x2 * MEDICAL
% Ten of Nineteen	FC	tenofnineteen	C	C	PERSONNEL	BORG		5	7	5				[Nav][FC][DQ]		Drone				* Astrophysics  * Navigation  * Once  each turn, if on your ship, may force one opponent's ship at same location to decloak.
% Terran Outpost	MM	terranoutpost	C	28 C	FACILITY	FEDERATION	OUTPOST			28				[TE][MM](MQ)						Seed one OR build where you have a [TE] ENGINEER. May be seeded or built at Terran Hideout if no headquarters there.
% TEST PROPULSION SYSTEMS	OTSD	testpropulsionsystems	P	P	MISSION	Planet,Any crew may attempt mission.					25	Remote sector	5	[P](AQ)						Navigation + Physics + ENGINEER + % ship    Solving player's ships are RANGE +2. (Cumulative.)
% Thaden	Voy	thaden	C	189 C	PERSONNEL	VIDIIAN	MEDICAL	5	6	4				(STF)[Voy][DQ]						MEDICAL * ENGINEER  * Astrophysics  * Navigation  * Transporter  Skill
% Thei	Premiere	thei	C	C	PERSONNEL	ROMULAN	OFFICER	4	6	8				(CMD)						OFFICER * Geology  * Physics
% Thenelak	Borg	thenelak	C	117 C	PERSONNEL	ROMULAN	ENGINEER	5	7	5				(STF)[Borg]						ENGINEER * Physics
% Thirteen of Nineteen	FC	thirteenofnineteen	C	C	PERSONNEL	BORG		5	5	7				[Def][FC][DQ]		Drone				* SECURITY  * While  on your ship, WEAPONS are +2. (Cumulative.)
% Thompson	Voy	thompsonfed	C	135 C	PERSONNEL	FEDERATION/NON-ALIGNED	SCIENCE	5	7	6				(STF)[Voy][DQ]						SCIENCE * Archaeology  * Treachery  * Physics
% Thompson*	Voy	thompsonna	C	135 C	PERSONNEL	FEDERATION/NON-ALIGNED	SCIENCE	5	7	6				(STF)[Voy][DQ]						SCIENCE * Archaeology  * Treachery  * Physics
% Three of Nineteen	FC	threeofnineteen	C	C	PERSONNEL	BORG		5	5	7				[Def][FC][DQ]		Drone				* Just  after stunning an opponsing personnel, may abduct and assimilate that adversary. * SECURITY  \DL/ Assimilation  Tubules
% T'Lor	DS9	tlor	C	C	PERSONNEL	FEDERATION	SCIENCE	6	7	5				(STF)[DS9]						SCIENCE * Geology  * Computer  Skill
% Tomek	Premiere	tomek	C	C	PERSONNEL	ROMULAN	ENGINEER	4	7	6				[Holo]						ENGINEER * Astrophysics
% Torin	Premiere	torin	C	C	PERSONNEL	KLINGON	SCIENCE	7	6	6										SCIENCE * Astrophysics
% Transwarp Hub	HA	transwarphub	R	22 R	FACILITY	BORG	OUTPOST			68				[HA][DQ]						Seeds or plays at any nebula. Once each turn, your ship may move from here to any Transwarp Network Gateway, or vice versa.
% T'Vor	MM	tvor	C	97 C	PERSONNEL	KLINGON	SCIENCE	5	7	7				(STF)[KCA][MM][MQ]						SCIENCE * Geology  * Stellar  Cartography
% Two of Eleven	FC	twoofeleven	C	C	PERSONNEL	BORG		5	7	5				[Nav][FC][DQ]		Drone				* ENGINEER  * Transporter  Skill * Where  present, allows your tranporters to beam through opponent's SHIELDS.
% Two of Nineteen	FC	twoofnineteen	C	C	PERSONNEL	BORG		5	7	5				[Nav][FC][DQ]		Drone				* Navigation  * Stellar  Cartography * When  on your ship, may download one Transwarp doorway or interrupt in place of one card draw.
% Two of Seventeen	FC	twoofseventeen	C	C	PERSONNEL	BORG		7	5	5				[Com][FC][DQ]		Drone				* Your  Borg present with any [Com] Borg in this hive may add their CUNNING to total wherever there is another [Com] Borg in same hive. * Anthropology
% Two of Twelve	Borg	twooftwelve	C	67 C	PERSONNEL	BORG		7	5	5				[Com][Borg][DQ]		Drone				* Archaeology  * Anthropology  * Exobiology  * If  present where probing for Assimilate Planet, once each turn, you may discard probe card to probe again.
% Ty Kajada	DS9	tykajada	C	C	PERSONNEL	NON-ALIGNED	OFFICER	7	7	7				(CMD)[DS9]						OFFICER * SECURITY  * Leadership
% Type 18 Shuttlepod	MM	type18shuttlepod	U	122 U	SHIP	FEDERATION	SHUTTLEPOD	5	2	4				[MM]				Benjamin Sisko		May report with crew (each must have Navigation) to your Defiant-class ship. --- Holds two personnel. Has no transporters.
% Type 9 Shuttlecraft	Voy	type9shuttlecraft	C	191 C	SHIP	FEDERATION	SHUTTLECRAFT	6	5	5				[Voy]						May report aboard your Intrepid- and Nova-class ships.
% Type VI Shuttlecraft	Premiere	typevishuttlecraft	C	C	SHIP	FEDERATION	TYPE VI SHUTTLECRAFT	6	2	2										
% U.S.S. Danube	DS9	ussdanube	C	C	SHIP	FEDERATION	DANUBE	7	4	5				[DS9]						Reports for free to Docking Pads.
% U.S.S. Excelsior	Premiere	ussexcelsior	C	C	SHIP	FEDERATION	EXCELSIOR	6	6	7					(STF)(STF)					Tractor Beam
% U.S.S. Galaxy	Premiere	ussgalaxy	C	C	SHIP	FEDERATION	GALAXY	8	7	9					(CMD)(STF)(STF)					Holodeck, Tractor Beam
% U.S.S. Intrepid	Voy	ussintrepid	C	193 C	SHIP	FEDERATION	INTREPID	8	7	8				[Voy]	(CMD)(STF)					Holodeck, Tractor Beam
% U.S.S. Miranda	Premiere	ussmiranda	C	C	SHIP	FEDERATION	MIRANDA	6	5	5				MIRANDA	(STF)					Tractor Beam
% U.S.S. Nebula	Premiere	ussnebula	C	C	SHIP	FEDERATION	NEBULA	8	7	8					(CMD)(STF)					Holodeck, Tractor Beam
% U.S.S. Oberth	Premiere	ussoberth	C	C	SHIP	FEDERATION	OBERTH	6	4	7					(STF)					Tractor Beam
% Ulani Belor	DS9	ulanibelor	C	C	PERSONNEL	CARDASSIAN	SCIENCE	6	7	4				[DS9]						SCIENCE * Physics  * Stellar  Cartography
% Uri'lash	AGT	urilash	P	25 P	PERSONNEL	FERENGI	SECURITY	7	6	9				(STF)		Hupyrian			Tower of Commerce	SECURITY * Honor  * Biology
% Varat'idan	TWT	varatidan	C	53 C	PERSONNEL	DOMINION	SECURITY	6	8	8				(STF)[KW][TWT][GQ]						SECURITY * Astrophysics  * Geology
% Varel	Premiere	varel	C	C	PERSONNEL	ROMULAN	SCIENCE	4	7	5				(STF)						SCIENCE * Physics  * Computer  Skill * Youth
% Vartoq	MM	vartoq	C	99 C	PERSONNEL	KLINGON	OFFICER	5	5	8				(CMD)[KCA][MM][MQ]						OFFICER * Biology  * Transporter  Skill
% Vedek Sorad	DS9	vedeksorad	C	C	PERSONNEL	BAJORAN	V.I.P.	6	5	4				[DS9]					Chamber of Ministers	V.I.P. * Diplomacy  * MEDICAL
% Vekma	Premiere	vekma	C	C	PERSONNEL	KLINGON	MEDICAL	6	5	6				(STF)						MEDICAL * Honor
% Vekor	Premiere	vekor	C	C	PERSONNEL	NON-ALIGNED	SCIENCE	2	7	6				(CMD)						SCIENCE * MEDICAL  * Navigation  * Geology
% Vekor *TWT	TWT	vekortwt	S	C	PERSONNEL	NON-ALIGNED	SCIENCE	2	7	6				(CMD)						SCIENCE * MEDICAL  * Navigation  * Geology
% Venatic Hunter	Borg	venatichunter	R	126 R	SHIP	HIROGEN	VENATIC	9	10	12				[Borg][DQ]	(CMD)(STF)(STF)			Netek		Holodeck, Tractor Beam
% Vidiian Cruiser	Voy	vidiiancruiser	R	199 R	SHIP	VIDIIAN	CRUISER	9	10	10				[Voy][DQ]	(CMD)(STF)(STF)			Drenol, Nadirum		Tractor Beam \DL/ Vidiian  Boarding Claw
% Vidiian Interceptor	Voy	vidiianinterceptor	C	200 C	SHIP	VIDIIAN	INTERCEPTOR	8	8	9				[Voy][DQ]	(STF)(STF)			Sulan		Tractor Beam
% Vidiian Outpost	Voy	vidiianoutpost	C	57 C	FACILITY	VIDIIAN	OUTPOST			34				[DQ][Voy]						Seed one at a [Vid] or [NA] location OR build at such a location where you have a Vidiian ENGINEER. \DL/ The  Vidiian Sodality
% Vidiian Scout Vessel	Voy	vidiianscoutvessel	C	201 C	SHIP	VIDIIAN	SCOUT	8	7	7				[Voy][DQ]	(STF)			Danara Pel, Dereth		
% Virak'kara	Dom	virakkara	C	C	PERSONNEL	DOMINION	SECURITY	7	6	9				(STF)[KW][Dom][GQ]						SECURITY * Physics  * Navigation
% Voight	TMP	voight	C	67 C	PERSONNEL	FEDERATION	SCIENCE	6	7	7				(STF)[AU][TMP]/Films\						SCIENCE * Physics  * Geology
% Voktak	BOG	voktak	C	C	PERSONNEL	KLINGON	OFFICER	4	6	7				(STF)[BOG]				I.K.C. K'Ratak		OFFICER * Navigation  * Stellar  Cartography * Treachery
% Vornar	HA	vornar	C	61 C	PERSONNEL	CARDASSIAN	SECURITY	8	7	7				(STF)[HA]						SECURITY * Transporter  Skill * Biology  * Honor
% Vulcan Lander	FC	vulcanlander	U	U	SHIP	NON-ALIGNED	SURVEY VESSEL	7	1	7				[AU][FC]	Vulcan			Solkar		May take off or land (uses 1 RANGE). Your Vulcans may report for duty here.  --- Has no transporters.
% Vurond	Borg	vurond	C	92 C	PERSONNEL	HIROGEN	SCIENCE	7	8	8				(STF)[Borg][DQ]					Hirogen Hunt (Karon)	SCIENCE * Astrophysics  * Stellar  Cartography
% Wajahut	TMP	wajahut	C	107 C	PERSONNEL	NON-ALIGNED	CIVILIAN	5	8	9				(STF)[AU]/Films\					Revenge Is A Dish Best Served Cold, War Council	CIVILIAN * Once  per game, if aboard U.S.S. Reliant, may relocate it to any Kirk's location. * Navigation  * ENGINEER
% Weld Ram	DS9	weldram	C	C	PERSONNEL	BAJORAN	SCIENCE	6	8	5				(STF)[DS9]						SCIENCE * Geology  * Archaeology
% William Telfer	Voy	williamtelfer	C	139 C	PERSONNEL	FEDERATION	SCIENCE	7	6	6				(STF)[Voy][DQ]						SCIENCE * Biology  * Stellar  Cartography
% Wodek'idan	HA	wodekidandom	C	63 C	PERSONNEL	DOMINION/HIROGEN	OFFICER	6	8	9				(STF)[Holo][HA][DQ]						OFFICER * Physics  * Exobiology
% Wodek'idan*	HA	wodekidanhir	C	63 C	PERSONNEL	DOMINION/HIROGEN	OFFICER	6	8	9				(STF)[Holo][HA][DQ]						OFFICER * Physics  * Exobiology
% Wo'Din	BOG	wodin	C	C	PERSONNEL	KLINGON	SCIENCE	5	7	7				(STF)[BOG]						SCIENCE * Diplomacy  * Stellar  Cartography
% Wo'Din *TWT	TWT	wodintwt	S	C	PERSONNEL	KLINGON	SCIENCE	5	7	7				(STF)[BOG]						SCIENCE * Diplomacy  * Stellar  Cartography
% Woteln	TMP	woteln	C	90 C	PERSONNEL	KLINGON	ENGINEER	5	5	6				(STF)[AU][TMP]/Films\						ENGINEER * Computer  Skill * Stellar  Cartography * While  on your outpost, opponent's span here is +2.
% Xepolite Freighter	DS9	xepolitefreighter	C	C	SHIP	NON-ALIGNED	MERCHANT FREIGHTER	9	5	7				[DS9]	(CMD)(STF)					Long-Range Scan Shielding, Tractor Beam
% Yak'talon	Dom	yaktalon	C	C	PERSONNEL	DOMINION	SECURITY	6	7	8				(STF)[KW][Dom][GQ]						SECURITY * ENGINEER  * Computer  Skill
% Yint	TWT	yint	C	93 C	PERSONNEL	NON-ALIGNED	CIVILIAN	3	6	7				(STF)[TWT]					War Council	CIVILIAN * Treachery  * Stellar  Cartography * Transporter  Skill \DL/ Any  Disruptor Rifle - Does not work with [Fed] affiliation.
% Young Jem'Hadar	Dom	youngjemhadar	C	C	PERSONNEL	DOMINION	CIVILIAN	4	5	7				[KW][Dom][GQ]						CIVILIAN * At  end of any of your turns, may be exchanged with one of your %
