Name	Set	ImageFile	CardName	Release	Info	Printable	Uniqueness	Type	Cost	Mission/ Dilemma Type	Affil	Class/ Species	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Quadrant	Span	Icons	Staff	Keywords	Characteristics/ Keywords	Requires	Persona	Command	Reports	Skills	Text
1175		1e/cardimages/premiere/exposecovertsupply.gif	Expose Covert Supply	Premiere	U	Yes	Unique			Planet						30		Alpha	4				Homeworld						Treachery x3 + Navigation  
1177		1e/cardimages/premiere/extraction.gif	Extraction	Premiere	R	Yes	Unique			Planet						35		Alpha	3										Treachery + Biology + MEDICAL  
1189		1e/cardimages/errata/Federation-Outpost.jpg	Federation Outpost	Premiere	C	No	Unique				Federation	Outpost			30														 Seed one OR build where you have a Federation ENGINEER. 
1190		1e/cardimages/premiere/federationpadd.gif	Federation PADD	Premiere	C	No	Unique																						 Federation use only. Each of your personnel CUNNING +2 where present. (Cumulative.) 
1194		1e/cardimages/errata/Female's-Love-Interest.jpg	Female's Love Interest	Premiere	C	No	Unique			Planet													female-related dilemma						 Female Away Team member (random selection) runs off with lover to furthest planet. Discard dilemma. 
1212		1e/cardimages/premiere/feveremergency.gif	Fever Emergency	Premiere	C	Yes	Unique			Planet						35		Alpha	3										MEDICAL x3 OR Biology + OFFICER  
1218		1e/cardimages/errata/Firestorm.jpg	Firestorm	Premiere	U	No	Unique			Planet																			 Kills all Away Team members with INTEGRITY<5 (but Away Team may escape using {Emergency Transporter Armbands}). Discard dilemma. 
1220		1e/cardimages/premiere/firstcontact.gif	First Contact	Premiere	U	Yes	Unique			Planet						30		Alpha	2										Diplomacy + Empathy  
1226		1e/cardimages/premiere/fleetadmiralshanthi.gif	Fleet Admiral Shanthi	Premiere	U	No	Unique				Federation		9	6	4					[Cmd]			Admiral, Support Personnel		Fleet Admiral Shanthi				OFFICER Leadership Diplomacy  
1240		1e/cardimages/errata/Full-Planet-Scan.jpg	Full Planet Scan	Premiere	U	No	Unique																						 Glance at all seed cards located under one planet mission for twenty seconds. 
1242		1e/cardimages/premiere/genetronicreplicator.gif	Genetronic Replicator	Premiere	U	No	Unique																						 Plays on table. Prevents any of your Away Team members from being killed if 2 MEDICAL present. 
1243		1e/cardimages/premiere/geordilaforge.gif	Geordi La Forge	Premiere	R	No	Unique				Federation		8	8	6					[Cmd]					Geordi La Forge				ENGINEER ENGINEER Navigation Physics Computer Skill  
1253		1e/cardimages/premiere/goddessofempathy.gif	Goddess of Empathy	Premiere	R	No	Unique																						 Plays on table until the end of your next turn. Neither you nor your opponent can play Interrupt cards (except {Kevin Uxbridge} or {Q2}). Discard after use. 
1262		1e/cardimages/premiere/gowron.gif	Gowron	Premiere	R	No	Unique				Klingon		8	7	9					[Cmd]			High Council, High Council Leader		Gowron				V.I.P. Leadership Diplomacy Honor  
1270		1e/cardimages/premiere/graviticmine.gif	Gravitic Mine	Premiere	U	No	Unique			Space																			 Ship damaged unless SCIENCE + Navigation aboard. Discard dilemma. 
1295		1e/cardimages/premiere/hologramruse.gif	Hologram Ruse	Premiere	U	No	Unique			Planet																			 Experience enemy hologram trick. You are tempted to divulge secrets. Impassable unless INTEGRITY>30 and CUNNING>30. 
1301		1e/cardimages/errata/Holo-projectors.jpg	Holo-projectors	Premiere	U	No	Unique																						 Plays on a planet mission. [Holo] cards may exist on this planet. 
1306		1e/cardimages/premiere/honorchallenge.gif	Honor Challenge	Premiere	R	No	Unique																	Klingon					 Plays just after an Away Team battle is initiated. Each Klingon with Honor immediately kills one opponent with Treachery. Battle continues. 
1308		1e/cardimages/premiere/horgahn.gif	Horga'hn	Premiere	R	No	Unique																						 Immediately play on table. Artifact allows you to take double turns from now on. (Not cumulative.) 
1320		1e/cardimages/premiere/hugh.gif	Hugh	Premiere	R	No	Unique																						 Nullifies attack by {Borg Ship} for this turn OR destroys (discard) all {Rogue Borg} at one location. 
1324		1e/cardimages/premiere/huntfordnaprogram.gif	Hunt for DNA Program	Premiere	R	Yes	Unique			Planet						55		Alpha	5										Archaeology x 3 + Computer Skill + Biology + Leadership + STRENGTH>40  
1328		1e/cardimages/premiere/hyperaging.gif	Hyper-aging	Premiere	U	No	Unique			Planet						5													 Mission continues but entire Away Team is quarantined and dies at the end of your third full turn unless SCIENCE + 2 MEDICAL present by that time. 
1336		1e/cardimages/errata/IKC-Bortas.jpg	I.K.C. Bortas	Premiere	R	No	Unique				Klingon		9	9	7						[Stf][Cmd]		Cloaking Device, Tractor Beam			Gowron			 Cloaking Device, Tractor Beam 
1337		1e/cardimages/premiere/ikcburuk.gif	I.K.C. Buruk	Premiere	R	No	Unique				Klingon		8	6	7						[Stf]		Bird-of-Prey, Tractor Beam, Cloaking Device						 Cloaking Device, Tractor Beam 
1342		1e/cardimages/premiere/ikcheghta.gif	I.K.C. Hegh'ta	Premiere	R	No	Unique				Klingon		8	7	7						[Stf]		Bird-of-Prey, Tractor Beam, Cloaking Device			Kurn			 Cloaking Device, Tractor Beam 
1352		1e/cardimages/premiere/ikcpagh.gif	I.K.C. Pagh	Premiere	R	No	Unique				Klingon		8	7	6						[Stf]		Tractor Beam, Cloaking Device		I.K.C. Pagh	Captain Kargan			 Cloaking Device, Tractor Beam 
1353		1e/cardimages/premiere/ikcquvat.gif	I.K.C. Qu'Vat	Premiere	R	No	Unique				Klingon		9	8	8						[Cmd][Stf]		Tractor Beam, Cloaking Device						 Cloaking Device, Tractor Beam 
1358		1e/cardimages/premiere/ikcvorn.gif	I.K.C. Vorn	Premiere	U	No	Unique				Klingon		8	7	6						[Stf]		Bird-of-Prey, Tractor Beam, Cloaking Device						 Cloaking Device, Tractor Beam 
1364		1e/cardimages/errata/Iconia-Investigation.jpg	Iconia Investigation	Premiere	R	Yes	Unique			Planet						35	Neutral Zone Region	Alpha	3				Neutral Zone Region						Archaeology + Computer Skill x2  
1365		1e/cardimages/premiere/iconiancomputerweapon.gif	Iconian Computer Weapon	Premiere	C	No	Unique			Space																			 Unless SCIENCE present, re-boot by discarding all non-personnel cards in hand and replenish from top of draw deck. Discard dilemma. 
1378		1e/cardimages/premiere/impassabledoor.gif	Impassable Door	Premiere	C	No	Unique			Planet																			 To get through this door, Away Team must have Computer Skill present. 
1390		1e/cardimages/premiere/incomingmessagefederation.gif	Incoming Message - Federation	Premiere	U	No	Unique																						 Your ship must immediately return to the nearest Federation outpost, full speed. Place on one Federation ship until outpost reached, then discard. 
1392		1e/cardimages/premiere/incomingmessageklingon.gif	Incoming Message: Klingon	Premiere	U	No	Unique																						 "Your ship must immediately return to the nearest Klingon outpost, full speed." Place on one Klingon ship until outpost reached, then discard. 
1393		1e/cardimages/premiere/incomingmessageromulan.gif	Incoming Message: Romulan	Premiere	U	No	Unique																						 "Your ship must immediately return to the nearest Romulan outpost, full speed." Place on one Romulan ship until outpost reached, then discard. 
1403		1e/cardimages/premiere/interphasegenerator.gif	Interphase Generator	Premiere	R	No	Unique																						 Use as Equipment card. Nullifies: {Chalnoth}s, {Archer}s, {Rebel}s, {Impassable Door}s, {Phased Matter}, {Crystalline Entit}ies, {Armus}, and {Nausicaans}. 
1412		1e/cardimages/errata/Investigate-Shattered-Space.jpg	Investigate "Shattered Space"	Premiere	R	Yes	Unique			Space						45	Neutral Zone Region	Alpha	5				Neutral Zone Region						Leadership + Computer Skill + Astrophysics x2 + Stellar Cartography  
1413		1e/cardimages/premiere/investigatealienprobe.gif	Investigate Alien Probe	Premiere	R	Yes	Unique			Space						40		Alpha	2										Anthropology + Biology + Computer Skill  
1414		1e/cardimages/premiere/investigateanomaly.gif	Investigate Anomaly	Premiere	C	Yes	Unique			Space						30		Alpha	4										Exobiology + STRENGTH>35  
1418		1e/cardimages/premiere/investigatedisappearance.gif	Investigate Disappearance	Premiere	R	Yes	Unique			Space						35		Alpha	5										Physics + Navigation + CUNNING>40 OR Astrophysics x3  
1419		1e/cardimages/premiere/investigatedisturbance.gif	Investigate Disturbance	Premiere	R	Yes	Unique			Planet						35		Alpha	4										Honor + Leadership + INTEGRITY>30 OR {Gowron} + Biology  
1421		1e/cardimages/premiere/investigatemassacre.gif	Investigate Massacre	Premiere	R	Yes	Unique			Planet						35		Alpha	3										Diplomacy + INTEGRITY>35 + CUNNING>35  
1423		1e/cardimages/premiere/investigateraid.gif	Investigate Raid	Premiere	R	Yes	Unique			Planet						35		Alpha	2										Exobiology + Diplomacy  
1424		1e/cardimages/premiere/investigateroguecomet.gif	Investigate Rogue Comet	Premiere	R	Yes	Unique			Space						30		Alpha	3										Archaeology + Exobiology + Computer Skill  
1426		1e/cardimages/errata/Investigate-Sighting.jpg	Investigate Sighting	Premiere	R	Yes	Unique			Space						35		Alpha	4										Empathy x3 OR Treachery + Exobiology + CUNNING>40  
1429		1e/cardimages/errata/Investigate-Time-Continuum.jpg	Investigate Time Continuum	Premiere	R	Yes	Unique			Planet						35		Alpha	3										{Guinan} OR {Data} OR {Time Travel Pod}  
1432		1e/cardimages/premiere/isharayar.gif	Ishara Yar	Premiere	U	No	Unique				Non-Aligned		3	7	8					[Stf]			Support Personnel		Ishara Yar				CIVILIAN Treachery Youth  
1446		1e/cardimages/premiere/jaglomshrekinformation.gif	Jaglom Shrek - Information Broker	Premiere	R	No	Unique																						 Look at opponent's draw deck for twenty seconds, then replace unshuffled. 
1457		1e/cardimages/premiere/jeanlucpicard.gif	Jean-Luc Picard	Premiere	R	No	Unique				Federation		9	8	6					[Cmd]					Jean-Luc Picard	U.S.S. Enterprise			OFFICER Diplomacy Leadership Honor Archaeology Navigation Music  
1465		1e/cardimages/premiere/jennadsora.gif	Jenna D'Sora	Premiere	U	No	Unique				Federation		7	6	5					[Stf]			Support Personnel		Jenna D'Sora				SECURITY Stellar Cartography Music  
1468		1e/cardimages/premiere/jobril.gif	Jo'Bril	Premiere	U	No	Unique				Non-Aligned		3	8	7					[Cmd]					Jo'Bril				SCIENCE Treachery Astrophysics Physics Greed  
1479		1e/cardimages/premiere/kahless.gif	Kahless	Premiere	R	No	Unique				Klingon		10	6	8					[Cmd]			Mission Specialist, Emperor		Kahless				V.I.P. Honor  
1488		1e/cardimages/premiere/kareelodan.gif	Kareel Odan	Premiere	U	No	Unique				Federation		9	7	4								Trill with symbiont, Ambassador, Support Personnel		Kareel Odan				V.I.P. Diplomacy Computer Skill  
1490		1e/cardimages/premiere/kargan.gif	Kargan	Premiere	R	No	Unique				Klingon		7	5	9					[Cmd]			Support Personnel		Kargan	I.K.C. Pagh			OFFICER Honor Computer Skill  
1506		1e/cardimages/premiere/kehleyr.gif	K'Ehleyr	Premiere	R	No	Unique				Federation		8	7	7					[Stf]			Ambassador, Support Personnel		K'Ehleyr				V.I.P. Diplomacy Honor  
1510		1e/cardimages/premiere/kell.gif	Kell	Premiere	U	No	Unique				Klingon		2	6	5								High Council, Mission Specialist		Kell				V.I.P. Treachery  
1518		1e/cardimages/errata/Kevin-Uxbridge.jpg	Kevin Uxbridge	Premiere	U	No	Unique									0													 Nullifies any one Event card in play (except for {Treaty} cards) OR any other card played as an Event card. (Immune to {Amanda Rogers}.) 
1521		1e/cardimages/premiere/khazara.gif	Khazara	Premiere	R	No	Unique				Romulan		9	9	7						[Cmd][Stf]		Tractor Beam, Cloaking Device			Commander Toreth			 Cloaking Device, Tractor Beam 
1522		1e/cardimages/errata/Khitomer-Research.jpg	Khitomer Research	Premiere	R	Yes	Unique			Planet						35		Alpha	4										Honor x3 + Computer Skill + Treachery  
1530		1e/cardimages/premiere/kivasfajocollector.gif	Kivas Fajo - Collector	Premiere	U	No	Unique																						 Choose any player to immediately draw three new cards from the top of their draw deck. Discard event after use. 
1535		1e/cardimages/premiere/klingondeathyell.gif	Klingon Death Yell	Premiere	R	No	Unique									5								Klingon					 Plays on any just killed Klingon with Honor. Yell to warn the dead and earn bonus points. May play only one death yell for each such Klingon. 
1536		1e/cardimages/premiere/klingondisruptor.gif	Klingon Disruptor	Premiere	C	No	Unique																hand weapon	Klingon					 Klingon and Non-Aligned use only. Each of your personnel STRENGTH +2 where present. (Cumulative.) 
1538		1e/cardimages/errata/Klingon-Outpost.jpg	Klingon Outpost	Premiere	C	No	Unique				Klingon	Outpost			32									Klingon					 Seed one OR build where you have a Klingon ENGINEER. 
1539		1e/cardimages/premiere/klingonpadd.gif	Klingon PADD	Premiere	C	No	Unique																	Klingon					 Klingon use only. Each of your personnel CUNNING +2 where present. (Cumulative.) 
1541		1e/cardimages/premiere/klingonrightofvengeance.gif	Klingon Right Of Vengeance	Premiere	C	No	Unique																	Klingon					 If any Klingon is killed in an away team battle, all other Klingons present may immediately re-attack with double STRENGTH. 
1542		1e/cardimages/premiere/kmpec.gif	K'mpec	Premiere	U	No	Unique				Klingon		7	8	5					[Cmd]			High Council, High Council Leader, Support Personnel		K'mpec				V.I.P. Leadership Diplomacy  
1550		1e/cardimages/premiere/konmel.gif	Konmel	Premiere	U	No	Unique				Klingon		8	5	8					[Stf]			Mission Specialist		Konmel				OFFICER Navigation  
1552		1e/cardimages/premiere/koral.gif	Koral	Premiere	U	No	Unique				Klingon		3	4	10					[Cmd]			Support Personnel		Koral				CIVILIAN Navigation Archaeology  
1555		1e/cardimages/premiere/koroth.gif	Koroth	Premiere	U	No	Unique				Klingon		8	6	6										Koroth				SCIENCE Biology Archaeology Anthropology  
1556		1e/cardimages/premiere/korris.gif	Korris	Premiere	U	No	Unique				Klingon		8	6	8					[Cmd]			Mission Specialist		Korris				OFFICER Honor  
1570		1e/cardimages/premiere/kriossuppression.gif	Krios Suppression	Premiere	U	Yes	Unique			Planet						30		Alpha	2										Honor + Diplomacy + STRENGTH>35  
1573		1e/cardimages/premiere/ktal.gif	K'Tal	Premiere	U	No	Unique				Klingon		7	5	5								High Council, Mission Specialist		K'Tal				V.I.P. Diplomacy  
1574		1e/cardimages/premiere/ktariangame.gif	Ktarian Game	Premiere	R	No	Unique			Space														Android					 Place on ship. Now and start of each of your turns, one person aboard (random selection) is disabled. Cured when non-disabled CUNNING>30 OR android aboard. 
1578		1e/cardimages/premiere/kurak.gif	Kurak	Premiere	R	No	Unique				Klingon		6	7	6					[Stf]					Kurak				SCIENCE Astrophysics Computer Skill Physics Honor  
1579		1e/cardimages/premiere/kurlannaiskos.gif	Kurlan Naiskos	Premiere	R	No	Unique																						 Place in hand until played on any ship as an Event card. If ship has all 7 personnel types aboard, its RANGE, WEAPONS and SHIELDS are tripled. (Not cumulative.) 
1580		1e/cardimages/premiere/kurn.gif	Kurn	Premiere	R	No	Unique				Klingon		8	6	8					[Cmd]			High Council		Kurn				OFFICER Honor Computer Skill Navigation Diplomacy  
1582		1e/cardimages/premiere/kvada.gif	K'Vada	Premiere	U	No	Unique				Klingon		8	5	7					[Cmd]			Support Personnel		K'Vada				OFFICER Leadership Navigation  
1594		1e/cardimages/premiere/leahbrahms.gif	Leah Brahms	Premiere	R	No	Unique				Federation		8	9	3					[Stf]			Mission Specialist		Leah Brahms				ENGINEER ENGINEER  
1609		1e/cardimages/premiere/lifeformscan.gif	Life-form Scan	Premiere	U	No	Unique																						 Glance at the cards in your opponent's hand for ten seconds. 
1618		1e/cardimages/premiere/lkor.gif	L'Kor	Premiere	U	No	Unique				Klingon		7	6	7					[Cmd]			Support Personnel		L'Kor				CIVILIAN Leadership Music  
1625		1e/cardimages/premiere/longrangescan.gif	Long-range Scan	Premiere	C	No	Unique																						 Glance at the cards aboard any ship for ten seconds. 
1629		1e/cardimages/premiere/lorereturns.gif	Lore Returns	Premiere	R	No	Unique																						 Plays where {Rogue Borg} have eliminated a ship's crew. With Lore, your {Rogue Borg} may now use ship to attack ships and/or beam to battle Away Teams. 
1630		1e/cardimages/premiere/loresfingernail.gif	Lore's Fingernail	Premiere	R	No	Unique																	Soong-type android					 Plays on table. While in play, all Soong-type androids (including Lt. Cmdr. {Data}) and {Exocomp}s lose their affiliation and are non-aligned personnel. 
1631		1e/cardimages/premiere/lossoforbitalstability.gif	Loss of Orbital Stability	Premiere	C	No	Unique																						 Plays on any ship at a planet location. Ship can't move for one turn. Also, ship is destroyed at end of next turn unless SHIELDS>4. Discard after use. 
1654		1e/cardimages/premiere/lursa.gif	Lursa	Premiere	R	No	Unique				Klingon		2	8	8					[Cmd]					Lursa				V.I.P. Treachery Leadership Geology Greed  
1656		1e/cardimages/errata/Lwaxana-Troi.jpg	Lwaxana Troi	Premiere	R	No	Unique				Federation		7	8	3								Mission Specialist		Lwaxana Troi				V.I.P. Empathy  
1674		1e/cardimages/errata/Male's-Love-Interest.jpg	Male's Love Interest	Premiere	C	No	Unique			Planet													male-related dilemma						 Male Away Team member (random selection) runs off with lover to furthest planet. Discard dilemma. 
1695		1e/cardimages/premiere/masakatransformations.gif	Masaka Transformations	Premiere	U	No	Unique																						 Plays on any player. That player must shuffle entire hand, place on bottom of draw deck, then draw the same number of cards from the top. Discard event after use. 
1696		1e/cardimages/premiere/matriarchalsociety.gif	Matriarchal Society	Premiere	U	No	Unique			Planet													female-related dilemma						 Cannot get past unless at least 2 female Away Team members present. 
1704		1e/cardimages/premiere/medicalkit.gif	Medical Kit	Premiere	C	No	Unique																MEDICAL-related equipment						 Gives all your OFFICER-classification personnel the extra skill of MEDICAL where present. 
1708		1e/cardimages/premiere/medicalrelief.gif	Medical Relief	Premiere	R	Yes	Unique			Planet						35		Alpha	3										Biology + Exobiology + MEDICAL  
1709		1e/cardimages/premiere/medicaltricorder.gif	Medical Tricorder	Premiere	C	No	Unique																SCIENCE-related equipment, MEDICAL-related equipment						 Gives all of your SCIENCE-classification personnel the extra skill of MEDICAL where present. 
1713		1e/cardimages/premiere/mendak.gif	Mendak	Premiere	R	No	Unique				Romulan		4	7	7					[Cmd]			Support Personnel		Mendak	Devoras			OFFICER Treachery Exobiology  
1714		1e/cardimages/errata/Menthar-Booby-Trap.jpg	Menthar Booby Trap	Premiere	C	No	Unique			Space																			 Place on ship; it cannot move. Unless MEDICAL present, one crew member killed (random selection). Discard with 2 ENGINEER aboard. 
1717		1e/cardimages/errata/Metaphasic-Shields.jpg	Metaphasic Shields	Premiere	U	No	Unique																						 Plays on your ship. SHIELDS +2 for each SCIENCE classification personnel aboard. 
1722		1e/cardimages/premiere/microbioticcolony.gif	Microbiotic Colony	Premiere	C	No	Unique			Space																			 Ship damaged unless SCIENCE, ENGINEER + OFFICER aboard. Discard dilemma. 
1723		1e/cardimages/premiere/microvirus.gif	Microvirus	Premiere	C	No	Unique			Planet						5													 Kills one Away Team member (opponent's choice), unless MEDICAL + SECURITY present. Discard dilemma. 
1736		1e/cardimages/premiere/mirok.gif	Mirok	Premiere	U	No	Unique				Romulan		3	8	7					[Stf]					Mirok				SCIENCE ENGINEER Astrophysics Physics  
1762		1e/cardimages/premiere/nagilum.gif	Nagilum	Premiere	R	No	Unique			Space						5													 Half of crew is killed (random selection, round down) unless 3 Diplomacy OR STRENGTH>40 aboard. Discard dilemma. 
1764		1e/cardimages/premiere/nanites.gif	Nanites	Premiere	U	No	Unique			Space						5													 Damages ship unless 2 SCIENCE or Diplomacy present. Discard dilemma. 
1770		1e/cardimages/premiere/nausicaans.gif	Nausicaans	Premiere	U	No	Unique			Planet																			 Three Nausicaans pick a fight. One Away Team member is killed (random selection) unless STRENGTH>44. Discard dilemma. 
1774		1e/cardimages/premiere/nearwarptransport.gif	Near-warp Transport	Premiere	U	No	Unique																						 Allows beaming from ship to a neighboring spaceline location. Transport a maximum of six of your personnel and/or your equipment. 
1776		1e/cardimages/premiere/neeladaren.gif	Neela Daren	Premiere	R	No	Unique				Federation		8	8	5					[Stf]					Neela Daren				SCIENCE Astrophysics Stellar Cartography Music  
1779		1e/cardimages/premiere/neral.gif	Neral	Premiere	U	No	Unique				Romulan		4	7	7								Proconsul, Support Personnel		Neral				V.I.P. Treachery Youth  
1781		1e/cardimages/premiere/neuralservodevice.gif	Neural Servo Device	Premiere	U	No	Unique																						 Plays on any non-aligned ship. Unless 2 SECURITY aboard, use ship and crew for one turn as your own. Discard event. 
1784		1e/cardimages/premiere/newcontact.gif	New Contact	Premiere	R	Yes	Unique			Planet						40		Alpha	4										Diplomacy + Leadership + Empathy + Anthropology  
1790		1e/cardimages/premiere/nikolairozhenko.gif	Nikolai Rozhenko	Premiere	U	No	Unique				Federation		3	7	4					[Stf]					Nikolai Rozhenko				CIVILIAN Anthropology Computer Skill Treachery  
1794		1e/cardimages/premiere/nitriummetalparasites.gif	Nitrium Metal Parasites	Premiere	U	No	Unique			Space																			 Place on ship. Ship can still move, but is destroyed at the end of your second full turn unless 2 SCIENCE OR 2 ENGINEER aboard by that time. 
1803		1e/cardimages/premiere/norahsatie.gif	Norah Satie	Premiere	U	No	Unique				Federation		9	6	2					[Cmd]			Admiral, Mission Specialist		Norah Satie				V.I.P. Leadership  
1805		1e/cardimages/premiere/nudaq.gif	Nu'Daq	Premiere	U	No	Unique				Klingon		8	5	8					[Cmd]					Nu'Daq	I.K.C. Maht-H'a			OFFICER Archaeology Navigation Exobiology  
1806		1e/cardimages/premiere/nullspace.gif	Null Space	Premiere	U	No	Unique			Space						5													 Ship hits null space turbulence and is damaged unless 2 Navigation aboard. Discard dilemma. 
1809		1e/cardimages/errata/Nutational-Shields.jpg	Nutational Shields	Premiere	U	No	Unique																						 Plays on your ship. SHIELDS +2 for each ENGINEER classification personnel aboard. 
1810		1e/cardimages/premiere/nvek.gif	N'Vek	Premiere	U	No	Unique				Romulan		6	8	8					[Cmd]			Romulan underground		N'Vek				SCIENCE Honor Biology Computer Skill  
1840		1e/cardimages/premiere/palortoffalientrader.gif	Palor Toff - Alien Trader	Premiere	C	No	Unique																						 Exchange this card for any non-Personnel card in your discard pile. 
1846		1e/cardimages/premiere/pardek.gif	Pardek	Premiere	U	No	Unique				Romulan		4	8	6								Senator, Support Personnel		Pardek				V.I.P. Diplomacy Treachery  
1847		1e/cardimages/premiere/parem.gif	Parem	Premiere	U	No	Unique				Romulan		4	8	9					[Stf]			Mission Specialist		Parem				OFFICER Treachery  
1849		1e/cardimages/premiere/particlefountain.gif	Particle Fountain	Premiere	C	No	Unique									5													 If 2 ENGINEER present in Away Team, play particle fountain (maximum of one) on just completed planet mission for bonus points. 
1852		1e/cardimages/premiere/patternenhancers.gif	Pattern Enhancers	Premiere	C	No	Unique																						 Plays on table. Allows your personnel and equipment unlimited beaming through {atmospheric ionization} or {distortion field}s. 
1857		1e/cardimages/premiere/pegasussearch.gif	Pegasus Search	Premiere	R	Yes	Unique			Space						50		Alpha	4										Navigation + Diplomacy + Leadership + Treachery + INTEGRITY>40 OR {Interphase Generator}  
1863		1e/cardimages/errata/Phased-Matter.jpg	Phased Matter	Premiere	C	No	Unique			Planet																			 Away Team is split into two Away Teams (your choice). Larger team is phased and cannot beam until cured by ENGINEER and SCIENCE in another Away Team on planet. 
1872		1e/cardimages/premiere/pi.gif	Pi	Premiere	R	No	Unique				Romulan		9	4	4								Scout						  
1881		1e/cardimages/premiere/plasmafire.gif	Plasma Fire	Premiere	C	No	Unique																						 Plays on any ship, except {Borg ship}. Fire damages ship at end of next turn and continues damaging each turn. SECURITY puts it out. Discard after use. 
1885		1e/cardimages/premiere/plundersite.gif	Plunder Site	Premiere	U	Yes	Unique			Planet						30		Alpha	2										Treachery + Archaeology + STRENGTH>30  
1887		1e/cardimages/premiere/portalguard.gif	Portal Guard	Premiere	U	No	Unique			Planet																			 Unless at least one Away Team member has CUNNING>7 OR Honor, the entire Away Team must abort mission and beam up or die. 
1919		1e/cardimages/errata/Q_a.jpg	Q	Premiere	R	No	Unique			Space/Planet													Q-related dilemma						 Unless 2 Leadership and INTEGRITY>60, stops crew or Away Team. Discard dilemma. 
1922		1e/cardimages/errata/Q2.jpg	Q2	Premiere	U	No	Unique									0								Q-related dilemma					 Nullifies any {Amanda Rogers} OR {Kevin Uxbridge} just played, OR nullifies any Q-related dilemma. 
1925		1e/cardimages/premiere/qnet.gif	Q-Net	Premiere	C	No	Unique																						 Plays between two adjacent spaceline locations. No ship may pass the Q-Net unless 2 Diplomacy aboard. 
1948		1e/cardimages/errata/Radioactive-Garbage-Scow.jpg	Radioactive Garbage Scow	Premiere	U	No	Unique			Space														Tractor Beam					 Place on spaceline here. Mission cannot be attempted where present. Ship with Tractor Beam and 2 ENGINEER can tow scow. 
1952		1e/cardimages/premiere/raisethestakes.gif	Raise the Stakes	Premiere	U	No	Unique																						 Your opponent must forfeit the game OR agree the eventual winner may randomly select and keep one card from loser's 60-card deck. (Cumulative.) 
1962		1e/cardimages/premiere/rebelencounter.gif	Rebel Encounter	Premiere	U	No	Unique			Planet																			 Kills one Away Team member (random selection) unless STRENGTH>44 OR you bribe rebels first by discarding an Equipment card, if present. Discard dilemma. 
1968		1e/cardimages/errata/Red-Alert.jpg	Red Alert!	Premiere	C	No	Unique																						 Plays on table. In place of your normal card play, you may report for duty any number of Ship, Personnel, and Equipment cards. 
1975		1e/cardimages/premiere/reginaldbarclay.gif	Reginald Barclay	Premiere	R	No	Unique				Federation		7	7	5					[Stf]			Mission Specialist		Reginald Barclay				ENGINEER Computer Skill  
1985		1e/cardimages/premiere/reliefmission.gif	Relief Mission	Premiere	C	Yes	Unique			Planet						20		Alpha	2										Geology OR Physics  
1989		1e/cardimages/errata/REM-Fatigue-Hallucinations.jpg	REM Fatigue Hallucinations	Premiere	U	No	Unique			Space/Planet						5													 Entire crew or Away Team dies in three of your full turns unless 3 MEDICAL present OR ship returns to outpost first. 
1997		1e/cardimages/premiere/repairmission.gif	Repair Mission	Premiere	C	Yes	Unique			Space						35		Alpha	2										ENGINEER x3 + Computer Skill  
2007		1e/cardimages/premiere/resq.gif	Res-Q	Premiere	C	No	Unique																						 Regenerates a card. Exchange this event for any one card from your discard pile. 
2010		1e/cardimages/premiere/restoreerrantmoon.gif	Restore Errant Moon	Premiere	U	Yes	Unique			Planet						30		Alpha	3										ENGINEER + Astrophysics + Leadership  
2023		1e/cardimages/premiere/richardgalen.gif	Richard Galen	Premiere	R	No	Unique				Federation		7	9	2					[Stf]			Professor		Richard Galen				SCIENCE Archaeology Biology Exobiology  
2033		1e/cardimages/premiere/riva.gif	Riva	Premiere	U	No	Unique				Federation		6	8	3								Mission Specialist		Riva				V.I.P. Diplomacy  
2034		1e/cardimages/premiere/rolaren.gif	Ro Laren	Premiere	R	No	Unique				Federation		4	7	5					[Stf]					Ro Laren				OFFICER Computer Skill Navigation Treachery  
2051		1e/cardimages/premiere/sarek.gif	Sarek	Premiere	R	No	Unique				Federation		9	10	3					[Cmd]			Ambassador, Support Personnel		Sarek				V.I.P. Diplomacy Mindmeld  
2053		1e/cardimages/premiere/sarjenka.gif	Sarjenka	Premiere	R	No	Unique			Planet						5													 Primitive alien begs for help. Ignore her (discard dilemma) OR help her and earn points, but all Away Teams here are "stopped." 
2054		1e/cardimages/premiere/sarthongplunder.gif	Sarthong Plunder	Premiere	R	Yes	Unique			Planet						35		Alpha	3										Archaeology x2 + STRENGTH>40  
2056		1e/cardimages/premiere/satelk.gif	Satelk	Premiere	R	No	Unique				Federation		8	9	7					[Cmd]					Satelk				OFFICER Leadership Mindmeld Diplomacy  
2057		1e/cardimages/errata/Scan.jpg	Scan	Premiere	C	No	Unique																						 Glance at all seed cards located under one space mission for twenty seconds. 
2077		1e/cardimages/premiere/secretsalvage.gif	Secret Salvage	Premiere	U	Yes	Unique			Space						30		Alpha	3										Treachery x4 OR Navigation x2 + Computer Skill  
2086		1e/cardimages/premiere/seeklifeform.gif	Seek Life-form	Premiere	R	Yes	Unique			Space						40		Alpha	3										Exobiology + Astrophysics + ENGINEER  
2089		1e/cardimages/premiere/sela.gif	Sela	Premiere	R	No	Unique				Romulan		6	9	8					[Cmd]					Sela				V.I.P. Diplomacy Leadership Treachery Youth  
